$ /home/ubuntu/.local/share/ihp-eda/venv/bin/python /home/ubuntu/.local/share/ihp-eda/IHP-Open-PDK/ihp-sg13g2/libs.tech/klayout/tech/lvs/run_lvs.py --layout=/workspace/layout/blocks/out/driver_stage/check4/no_pads/driver_dut.gds --netlist=/workspace/layout/blocks/out/driver_stage/check4/no_pads/x.cdl --run_dir=/workspace/layout/blocks/out/driver_stage/check4/no_pads/lvs --run_mode=deep --topcell=driver_dut --implicit_nets=sub,sub! --ignore_top_ports_mismatch --disable_tap_extraction

--- stdout ---
2026-08-20 17:32:22 +0000: Memory Usage (137092K) : intbondvia_drw has 0 polygons
2026-08-20 17:32:22 +0000: Memory Usage (137092K) : intbondmet_drw has 0 polygons
2026-08-20 17:32:22 +0000: Memory Usage (137092K) : devbondvia_drw has 0 polygons
2026-08-20 17:32:22 +0000: Memory Usage (137220K) : devbondmet_drw has 0 polygons
2026-08-20 17:32:22 +0000: Memory Usage (137220K) : devtrench_drw has 0 polygons
2026-08-20 17:32:22 +0000: Memory Usage (137220K) : redist_drw has 0 polygons
2026-08-20 17:32:22 +0000: Memory Usage (137220K) : graphbot_drw has 0 polygons
2026-08-20 17:32:22 +0000: Memory Usage (137220K) : graphtop_drw has 0 polygons
2026-08-20 17:32:22 +0000: Memory Usage (137348K) : antvia1_drw has 0 polygons
2026-08-20 17:32:22 +0000: Memory Usage (137348K) : antmetal2_drw has 0 polygons
2026-08-20 17:32:22 +0000: Memory Usage (137348K) : graphcont_drw has 0 polygons
2026-08-20 17:32:22 +0000: Memory Usage (137348K) : siwg_drw has 0 polygons
2026-08-20 17:32:22 +0000: Memory Usage (137476K) : siwg_filler has 0 polygons
2026-08-20 17:32:22 +0000: Memory Usage (137476K) : siwg_nofill has 0 polygons
2026-08-20 17:32:22 +0000: Memory Usage (137476K) : sigrating_drw has 0 polygons
2026-08-20 17:32:22 +0000: Memory Usage (137476K) : singrating_drw has 0 polygons
2026-08-20 17:32:22 +0000: Memory Usage (137476K) : graphpas_drw has 0 polygons
2026-08-20 17:32:22 +0000: Memory Usage (137476K) : emwind3_drw has 0 polygons
2026-08-20 17:32:22 +0000: Memory Usage (137604K) : emwihv3_drw has 0 polygons
2026-08-20 17:32:22 +0000: Memory Usage (137604K) : redbulay_drw has 0 polygons
2026-08-20 17:32:22 +0000: Memory Usage (137604K) : smos_drw has 0 polygons
2026-08-20 17:32:22 +0000: Memory Usage (137604K) : graphpad_drw has 0 polygons
2026-08-20 17:32:22 +0000: Memory Usage (137604K) : polimide_drw has 0 polygons
2026-08-20 17:32:22 +0000: Memory Usage (137604K) : polimide_pin has 0 polygons
2026-08-20 17:32:22 +0000: Memory Usage (137732K) : recog_drw has 0 polygons
