$ /home/ubuntu/.local/share/ihp-eda/venv/bin/python /home/ubuntu/.local/share/ihp-eda/IHP-Open-PDK/ihp-sg13g2/libs.tech/klayout/tech/lvs/run_lvs.py --layout=/workspace/layout/blocks/out/driver_stage/bisect_run/_probe4_no_ties/driver_dut.gds --netlist=/workspace/layout/blocks/out/driver_stage/bisect_run/_probe4_no_ties/driver_dut.cdl --run_dir=/workspace/layout/blocks/out/driver_stage/bisect_run/_probe4_no_ties/lvs --run_mode=deep --topcell=driver_dut --implicit_nets=sub,sub! --ignore_top_ports_mismatch --disable_tap_extraction

--- stdout ---
2026-08-20 19:01:39 +0000: Memory Usage (137080K) : singrating_drw has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (137080K) : graphpas_drw has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (137080K) : emwind3_drw has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (137080K) : emwihv3_drw has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (137208K) : redbulay_drw has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (137208K) : smos_drw has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (137208K) : graphpad_drw has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (137208K) : polimide_drw has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (137208K) : polimide_pin has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (137336K) : recog_drw has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (137336K) : recog_pin has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (137336K) : recog_esd has 4 polygons
2026-08-20 19:01:39 +0000: Memory Usage (137336K) : recog_diode has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (137336K) : recog_tsv has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (137336K) : recog_iprobe has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (137336K) : recog_diffprb has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (137464K) : recog_pillar has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (137464K) : recog_sbump has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (137464K) : recog_otp has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (137464K) : recog_pdiode has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (137464K) : recog_mom has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (137464K) : recog_momf has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (137592K) : recog_pcm has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (137592K) : colopen_drw has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (137592K) : graphmetal1_drw has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (137592K) : graphmetal1_filler has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (137592K) : graphmetal1_nofill has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (137592K) : graphmetal1_slit has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (137720K) : graphmetal1_OPC has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (137720K) : graphmet1l_drw has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (137720K) : graphmet1l_filler has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (137720K) : graphmet1l_nofill has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (137720K) : graphmet1l_slit has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (137848K) : graphmet1l_OPC has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (137848K) : extblock_drw has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (137848K) : nldd_drw has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (137848K) : pldd_drw has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (137848K) : next_drw has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (137848K) : pext_drw has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (137976K) : nexthv_drw has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (137976K) : pexthv_drw has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (137976K) : graphgate_drw has 0 polygons
