freq_Hz,S21_mag_model,S21_mag_em,S21_ang_deg_model,S21_ang_deg_em,S11_mag_model,S11_mag_em
2.244438e+10,0.99372045,0.98806692,-7.768150,-7.685095,0.05397808,0.05215979
2.269375e+10,0.99367471,0.98799884,-7.853777,-7.767581,0.05456285,0.05266139
2.294312e+10,0.99362875,0.98793103,-7.939396,-7.850070,0.05514752,0.05316313
2.319250e+10,0.99358257,0.98786353,-8.025007,-7.932570,0.05573210,0.05366505
2.344188e+10,0.99353617,0.98779636,-8.110612,-8.015075,0.05631658,0.05416714
2.369125e+10,0.99348956,0.98772945,-8.196210,-8.097591,0.05690098,0.05466940
2.394062e+10,0.99344272,0.98766277,-8.281801,-8.180113,0.05748529,0.05517183
2.419000e+10,0.99339567,0.98759640,-8.367386,-8.262646,0.05806953,0.05567443
2.443938e+10,0.99334840,0.98753030,-8.452965,-8.345189,0.05865369,0.05617722
2.468875e+10,0.99330092,0.98746437,-8.538539,-8.427746,0.05923778,0.05668018
2.493812e+10,0.99325322,0.98739863,-8.624107,-8.510310,0.05982180,0.05718331
2.518750e+10,0.99320530,0.98733307,-8.709670,-8.592886,0.06040577,0.05768663
2.543688e+10,0.99315716,0.98726773,-8.795228,-8.675473,0.06098967,0.05819012
2.568625e+10,0.99310881,0.98720255,-8.880782,-8.758075,0.06157353,0.05869379
2.593562e+10,0.99306024,0.98713752,-8.966331,-8.840688,0.06215733,0.05919763
2.618500e+10,0.99301146,0.98707263,-9.051876,-8.923312,0.06274109,0.05970165
2.643438e+10,0.99296245,0.98700781,-9.137417,-9.005952,0.06332481,0.06020585
2.668375e+10,0.99291323,0.98694310,-9.222954,-9.088600,0.06390849,0.06071022
2.693312e+10,0.99286379,0.98687855,-9.308488,-9.171266,0.06449214,0.06121477
2.718250e+10,0.99281413,0.98681407,-9.394019,-9.253943,0.06507576,0.06171949
2.743188e+10,0.99276424,0.98674964,-9.479546,-9.336635,0.06565936,0.06222437
2.768125e+10,0.99271414,0.98668531,-9.565071,-9.419336,0.06624293,0.06272943
2.793062e+10,0.99266382,0.98662099,-9.650594,-9.502052,0.06682649,0.06323465
2.818000e+10,0.99261327,0.98655676,-9.736114,-9.584782,0.06741003,0.06374003
2.842938e+10,0.99256250,0.98649255,-9.821632,-9.667530,0.06799355,0.06424558
2.867875e+10,0.99251151,0.98642842,-9.907147,-9.750288,0.06857708,0.06475129
2.892812e+10,0.99246029,0.98636429,-9.992662,-9.833058,0.06916059,0.06525715
2.917750e+10,0.99240885,0.98630012,-10.078174,-9.915847,0.06974411,0.06576317
2.942688e+10,0.99235718,0.98623596,-10.163685,-9.998647,0.07032763,0.06626934
2.967625e+10,0.99230528,0.98617185,-10.249195,-10.081459,0.07091115,0.06677566
2.992562e+10,0.99225316,0.98610771,-10.334704,-10.164286,0.07149468,0.06728213
3.017500e+10,0.99220080,0.98604352,-10.420212,-10.247124,0.07207822,0.06778873
3.042438e+10,0.99214821,0.98597935,-10.505720,-10.329979,0.07266178,0.06829548
3.067375e+10,0.99209539,0.98591516,-10.591227,-10.412846,0.07324536,0.06880236
3.092312e+10,0.99204234,0.98585092,-10.676733,-10.495728,0.07382895,0.06930939
3.117250e+10,0.99198905,0.98578662,-10.762240,-10.578622,0.07441257,0.06981653
3.142188e+10,0.99193553,0.98572233,-10.847746,-10.661529,0.07499622,0.07032380
3.167125e+10,0.99188177,0.98565796,-10.933253,-10.744452,0.07557990,0.07083120
3.192062e+10,0.99182777,0.98559357,-11.018760,-10.827385,0.07616360,0.07133872
3.217000e+10,0.99177353,0.98552909,-11.104267,-10.910334,0.07674734,0.07184635
3.241938e+10,0.99171905,0.98546459,-11.189775,-10.993294,0.07733112,0.07235411
3.266875e+10,0.99166433,0.98539999,-11.275284,-11.076267,0.07791494,0.07286196
3.291812e+10,0.99160937,0.98533533,-11.360793,-11.159258,0.07849880,0.07336993
3.316750e+10,0.99155416,0.98527066,-11.446304,-11.242259,0.07908270,0.07387800
3.341688e+10,0.99149871,0.98520591,-11.531815,-11.325273,0.07966665,0.07438617
3.366625e+10,0.99144300,0.98514108,-11.617328,-11.408302,0.08025065,0.07489443
3.391562e+10,0.99138705,0.98507612,-11.702842,-11.491343,0.08083470,0.07540278
3.416500e+10,0.99133086,0.98501113,-11.788358,-11.574397,0.08141881,0.07591123
3.441438e+10,0.99127440,0.98494606,-11.873876,-11.657464,0.08200297,0.07641976
3.466375e+10,0.99121770,0.98488090,-11.959395,-11.740544,0.08258718,0.07692838
3.491312e+10,0.99116074,0.98481568,-12.044916,-11.823637,0.08317146,0.07743709
3.516250e+10,0.99110353,0.98475041,-12.130439,-11.906744,0.08375580,0.07794586
3.541188e+10,0.99104606,0.98468502,-12.215964,-11.989864,0.08434021,0.07845471
3.566125e+10,0.99098834,0.98461954,-12.301491,-12.072999,0.08492468,0.07896363
3.591062e+10,0.99093035,0.98455401,-12.387021,-12.156148,0.08550922,0.07947263
3.616000e+10,0.99087210,0.98448843,-12.472553,-12.239310,0.08609383,0.07998168
3.640938e+10,0.99081360,0.98442272,-12.558088,-12.322485,0.08667851,0.08049080
3.665875e+10,0.99075482,0.98435691,-12.643625,-12.405671,0.08726326,0.08099998
3.690812e+10,0.99069579,0.98429105,-12.729165,-12.488873,0.08784809,0.08150922
3.715750e+10,0.99063649,0.98422509,-12.814708,-12.572090,0.08843300,0.08201851
3.740688e+10,0.99057692,0.98415902,-12.900253,-12.655319,0.08901799,0.08252785
3.765625e+10,0.99051708,0.98409291,-12.985802,-12.738565,0.08960305,0.08303725
3.790562e+10,0.99045697,0.98402668,-13.071354,-12.821825,0.09018820,0.08354669
3.815500e+10,0.99039659,0.98396035,-13.156909,-12.905096,0.09077344,0.08405618
3.840438e+10,0.99033594,0.98389396,-13.242467,-12.988381,0.09135876,0.08456572
3.865375e+10,0.99027501,0.98382753,-13.328028,-13.071682,0.09194416,0.08507529
3.890312e+10,0.99021381,0.98376099,-13.413593,-13.154999,0.09252966,0.08558490
3.915250e+10,0.99015234,0.98369430,-13.499161,-13.238331,0.09311524,0.08609455
3.940188e+10,0.99009058,0.98362758,-13.584733,-13.321677,0.09370092,0.08660425
3.965125e+10,0.99002855,0.98356079,-13.670309,-13.405041,0.09428669,0.08711397
3.990062e+10,0.98996623,0.98349390,-13.755888,-13.488418,0.09487255,0.08762373
4.015000e+10,0.98990363,0.98342691,-13.841471,-13.571811,0.09545851,0.08813352
4.039938e+10,0.98984075,0.98335984,-13.927058,-13.655222,0.09604457,0.08864334
4.064875e+10,0.98977759,0.98329266,-14.012649,-13.738648,0.09663072,0.08915318
4.089812e+10,0.98971414,0.98322538,-14.098244,-13.822090,0.09721698,0.08966305
4.114750e+10,0.98965041,0.98315806,-14.183843,-13.905547,0.09780333,0.09017296
4.139688e+10,0.98958638,0.98309063,-14.269446,-13.989020,0.09838979,0.09068288
4.164625e+10,0.98952207,0.98302313,-14.355054,-14.072513,0.09897636,0.09119284
4.189562e+10,0.98945746,0.98295553,-14.440665,-14.156024,0.09956302,0.09170281
4.214500e+10,0.98939257,0.98288784,-14.526281,-14.239552,0.10014979,0.09221282
4.239438e+10,0.98932738,0.98282006,-14.611902,-14.323098,0.10073667,0.09272284
4.264375e+10,0.98926190,0.98275218,-14.697526,-14.406660,0.10132366,0.09323289
4.289312e+10,0.98919612,0.98268421,-14.783156,-14.490239,0.10191076,0.09374296
4.314250e+10,0.98913004,0.98261617,-14.868790,-14.573839,0.10249797,0.09425305
4.339188e+10,0.98906367,0.98254804,-14.954428,-14.657460,0.10308529,0.09476316
4.364125e+10,0.98899700,0.98247977,-15.040071,-14.741099,0.10367272,0.09527330
4.389062e+10,0.98893003,0.98241142,-15.125719,-14.824756,0.10426026,0.09578346
4.414000e+10,0.98886276,0.98234298,-15.211372,-14.908431,0.10484792,0.09629364
4.438938e+10,0.98879518,0.98227447,-15.297029,-14.992129,0.10543570,0.09680384
4.463875e+10,0.98872730,0.98220587,-15.382692,-15.075847,0.10602359,0.09731407
4.488812e+10,0.98865912,0.98213715,-15.468359,-15.159585,0.10661160,0.09782432
4.513750e+10,0.98859063,0.98206830,-15.554031,-15.243343,0.10719973,0.09833459
4.538688e+10,0.98852183,0.98199938,-15.639709,-15.327124,0.10778798,0.09884488
4.563625e+10,0.98845273,0.98193033,-15.725391,-15.410927,0.10837635,0.09935520
4.588562e+10,0.98838331,0.98186117,-15.811079,-15.494751,0.10896484,0.09986556
4.613500e+10,0.98831359,0.98179198,-15.896771,-15.578594,0.10955345,0.10037593
4.638438e+10,0.98824355,0.98172266,-15.982469,-15.662461,0.11014218,0.10088633
