$ /home/ubuntu/.local/share/ihp-eda/venv/bin/python /home/ubuntu/.local/share/ihp-eda/IHP-Open-PDK/ihp-sg13g2/libs.tech/klayout/tech/lvs/run_lvs.py --layout=/workspace/layout/blocks/out/driver_stage/probe/no_tapeout/driver_dut.gds --netlist=/workspace/layout/blocks/out/driver_stage/probe/no_tapeout/t.cdl --run_dir=/workspace/layout/blocks/out/driver_stage/probe/no_tapeout/lvs --run_mode=deep --topcell=driver_dut --implicit_nets=sub,sub! --ignore_top_ports_mismatch --disable_tap_extraction

--- stdout ---
2026-08-20 16:31:03 +0000: Memory Usage (136428K) : metal5_drw has 22 polygons
2026-08-20 16:31:03 +0000: Memory Usage (136428K) : metal5_filler has 0 polygons
2026-08-20 16:31:03 +0000: Memory Usage (136556K) : metal5_slit has 0 polygons
2026-08-20 16:31:03 +0000: Memory Usage (136556K) : metal5 has 22 polygons
2026-08-20 16:31:03 +0000: Memory Usage (136556K) : metal5_pin has 0 polygons
2026-08-20 16:31:03 +0000: Memory Usage (136556K) : metal5_mask has 0 polygons
2026-08-20 16:31:03 +0000: Memory Usage (136556K) : metal5_nofill has 2 polygons
2026-08-20 16:31:03 +0000: Memory Usage (136556K) : metal5_text has 2 polygons
2026-08-20 16:31:03 +0000: Memory Usage (136556K) : metal5_OPC has 0 polygons
2026-08-20 16:31:03 +0000: Memory Usage (136684K) : metal5_noqrc has 0 polygons
2026-08-20 16:31:03 +0000: Memory Usage (136684K) : metal5_res has 0 polygons
2026-08-20 16:31:03 +0000: Memory Usage (136684K) : metal5_iprobe has 0 polygons
2026-08-20 16:31:03 +0000: Memory Usage (136684K) : metal5_diffprb has 0 polygons
2026-08-20 16:31:03 +0000: Memory Usage (136684K) : radhard_drw has 0 polygons
2026-08-20 16:31:03 +0000: Memory Usage (136684K) : memcap_drw has 0 polygons
2026-08-20 16:31:03 +0000: Memory Usage (136812K) : varicap_drw has 0 polygons
2026-08-20 16:31:03 +0000: Memory Usage (136812K) : intbondvia_drw has 0 polygons
2026-08-20 16:31:03 +0000: Memory Usage (136812K) : intbondmet_drw has 0 polygons
2026-08-20 16:31:03 +0000: Memory Usage (136812K) : devbondvia_drw has 0 polygons
2026-08-20 16:31:03 +0000: Memory Usage (136940K) : devbondmet_drw has 0 polygons
2026-08-20 16:31:03 +0000: Memory Usage (136940K) : devtrench_drw has 0 polygons
2026-08-20 16:31:03 +0000: Memory Usage (136940K) : redist_drw has 0 polygons
2026-08-20 16:31:03 +0000: Memory Usage (136940K) : graphbot_drw has 0 polygons
2026-08-20 16:31:03 +0000: Memory Usage (137068K) : graphtop_drw has 0 polygons
2026-08-20 16:31:03 +0000: Memory Usage (137068K) : antvia1_drw has 0 polygons
2026-08-20 16:31:03 +0000: Memory Usage (137068K) : antmetal2_drw has 0 polygons
2026-08-20 16:31:03 +0000: Memory Usage (137068K) : graphcont_drw has 0 polygons
2026-08-20 16:31:03 +0000: Memory Usage (137196K) : siwg_drw has 0 polygons
2026-08-20 16:31:03 +0000: Memory Usage (137196K) : siwg_filler has 0 polygons
2026-08-20 16:31:03 +0000: Memory Usage (137196K) : siwg_nofill has 0 polygons
2026-08-20 16:31:03 +0000: Memory Usage (137196K) : sigrating_drw has 0 polygons
2026-08-20 16:31:03 +0000: Memory Usage (137196K) : singrating_drw has 0 polygons
2026-08-20 16:31:03 +0000: Memory Usage (137196K) : graphpas_drw has 0 polygons
2026-08-20 16:31:03 +0000: Memory Usage (137324K) : emwind3_drw has 0 polygons
2026-08-20 16:31:03 +0000: Memory Usage (137324K) : emwihv3_drw has 0 polygons
2026-08-20 16:31:03 +0000: Memory Usage (137324K) : redbulay_drw has 0 polygons
2026-08-20 16:31:03 +0000: Memory Usage (137324K) : smos_drw has 0 polygons
2026-08-20 16:31:03 +0000: Memory Usage (137324K) : graphpad_drw has 0 polygons
2026-08-20 16:31:03 +0000: Memory Usage (137452K) : polimide_drw has 0 polygons
2026-08-20 16:31:03 +0000: Memory Usage (137452K) : polimide_pin has 0 polygons
2026-08-20 16:31:03 +0000: Memory Usage (137452K) : recog_drw has 0 polygons
2026-08-20 16:31:03 +0000: Memory Usage (137452K) : recog_pin has 0 polygons
2026-08-20 16:31:03 +0000: Memory Usage (137452K) : recog_esd has 0 polygons
2026-08-20 16:31:03 +0000: Memory Usage (137452K) : recog_diode has 0 polygons
2026-08-20 16:31:03 +0000: Memory Usage (137580K) : recog_tsv has 0 polygons
2026-08-20 16:31:03 +0000: Memory Usage (137580K) : recog_iprobe has 0 polygons
2026-08-20 16:31:03 +0000: Memory Usage (137580K) : recog_diffprb has 0 polygons
2026-08-20 16:31:03 +0000: Memory Usage (137580K) : recog_pillar has 0 polygons
2026-08-20 16:31:03 +0000: Memory Usage (137580K) : recog_sbump has 0 polygons
2026-08-20 16:31:03 +0000: Memory Usage (137580K) : recog_otp has 0 polygons
2026-08-20 16:31:03 +0000: Memory Usage (137708K) : recog_pdiode has 0 polygons
2026-08-20 16:31:03 +0000: Memory Usage (137708K) : recog_mom has 0 polygons
2026-08-20 16:31:03 +0000: Memory Usage (137708K) : recog_momf has 0 polygons
2026-08-20 16:31:03 +0000: Memory Usage (137708K) : recog_pcm has 0 polygons
2026-08-20 16:31:03 +0000: Memory Usage (137708K) : colopen_drw has 0 polygons
2026-08-20 16:31:03 +0000: Memory Usage (137836K) : graphmetal1_drw has 0 polygons
2026-08-20 16:31:03 +0000: Memory Usage (137836K) : graphmetal1_filler has 0 polygons
2026-08-20 16:31:03 +0000: Memory Usage (137836K) : graphmetal1_nofill has 0 polygons
2026-08-20 16:31:03 +0000: Memory Usage (137836K) : graphmetal1_slit has 0 polygons
2026-08-20 16:31:03 +0000: Memory Usage (137964K) : graphmetal1_OPC has 0 polygons
2026-08-20 16:31:03 +0000: Memory Usage (137964K) : graphmet1l_drw has 0 polygons
2026-08-20 16:31:03 +0000: Memory Usage (137964K) : graphmet1l_filler has 0 polygons
2026-08-20 16:31:03 +0000: Memory Usage (137964K) : graphmet1l_nofill has 0 polygons
2026-08-20 16:31:03 +0000: Memory Usage (138092K) : graphmet1l_slit has 0 polygons
2026-08-20 16:31:03 +0000: Memory Usage (138092K) : graphmet1l_OPC has 0 polygons
2026-08-20 16:31:03 +0000: Memory Usage (138092K) : extblock_drw has 6 polygons
2026-08-20 16:31:03 +0000: Memory Usage (138092K) : nldd_drw has 0 polygons
2026-08-20 16:31:03 +0000: Memory Usage (138220K) : pldd_drw has 0 polygons
2026-08-20 16:31:03 +0000: Memory Usage (138220K) : next_drw has 0 polygons
2026-08-20 16:31:03 +0000: Memory Usage (138220K) : pext_drw has 0 polygons
2026-08-20 16:31:03 +0000: Memory Usage (138220K) : nexthv_drw has 0 polygons
2026-08-20 16:31:03 +0000: Memory Usage (138220K) : pexthv_drw has 0 polygons
2026-08-20 16:31:03 +0000: Memory Usage (138348K) : graphgate_drw has 0 polygons
2026-08-20 16:31:03 +0000: Memory Usage (138348K) : sinwg_drw has 0 polygons
2026-08-20 16:31:03 +0000: Memory Usage (138348K) : sinwg_filler has 0 polygons
2026-08-20 16:31:03 +0000: Memory Usage (138348K) : sinwg_nofill has 0 polygons
2026-08-20 16:31:03 +0000: Memory Usage (138348K) : mempad_drw has 0 polygons
2026-08-20 16:31:03 +0000: Memory Usage (138476K) : topvia1_drw has 3 polygons
2026-08-20 16:31:03 +0000: Memory Usage (138476K) : topmetal1_drw has 42 polygons
2026-08-20 16:31:03 +0000: Memory Usage (138476K) : topmetal1_filler has 0 polygons
2026-08-20 16:31:03 +0000: Memory Usage (138476K) : topmetal1_slit has 0 polygons
2026-08-20 16:31:03 +0000: Memory Usage (138476K) : topmetal1 has 42 polygons
2026-08-20 16:31:03 +0000: Memory Usage (138476K) : topmetal1_pin has 0 polygons
2026-08-20 16:31:03 +0000: Memory Usage (138604K) : topmetal1_mask has 0 polygons
2026-08-20 16:31:03 +0000: Memory Usage (138604K) : topmetal1_nofill has 2 polygons
2026-08-20 16:31:03 +0000: Memory Usage (138604K) : topmetal1_text has 0 polygons
2026-08-20 16:31:03 +0000: Memory Usage (138604K) : topmetal1_noqrc has 0 polygons
2026-08-20 16:31:03 +0000: Memory Usage (138604K) : topmetal1_res has 0 polygons
2026-08-20 16:31:03 +0000: Memory Usage (138732K) : topmetal1_iprobe has 0 polygons
