$ /home/ubuntu/.local/share/ihp-eda/venv/bin/python /home/ubuntu/.local/share/ihp-eda/IHP-Open-PDK/ihp-sg13g2/libs.tech/klayout/tech/lvs/run_lvs.py --layout=/workspace/layout/blocks/out/driver_stage/granular3/with_channel_supplies/driver_dut.gds --netlist=/workspace/layout/blocks/out/driver_stage/granular3/with_channel_supplies/x.cdl --run_dir=/workspace/layout/blocks/out/driver_stage/granular3/with_channel_supplies/lvs --run_mode=deep --topcell=driver_dut --implicit_nets=sub,sub! --ignore_top_ports_mismatch --disable_tap_extraction

--- stdout ---
2026-08-20 17:24:42 +0000: Memory Usage (135768K) : trans_drw has 2 polygons
2026-08-20 17:24:42 +0000: Memory Usage (135896K) : ind_drw has 2 polygons
2026-08-20 17:24:42 +0000: Memory Usage (135896K) : ind_pin has 4 polygons
2026-08-20 17:24:42 +0000: Memory Usage (135896K) : ind_text has 4 polygons
2026-08-20 17:24:42 +0000: Memory Usage (135896K) : salblock_drw has 12 polygons
2026-08-20 17:24:42 +0000: Memory Usage (136024K) : via2_drw has 868 polygons
2026-08-20 17:24:42 +0000: Memory Usage (136024K) : metal3_drw has 80 polygons
2026-08-20 17:24:42 +0000: Memory Usage (136024K) : metal3_filler has 0 polygons
2026-08-20 17:24:42 +0000: Memory Usage (136152K) : metal3_slit has 0 polygons
2026-08-20 17:24:42 +0000: Memory Usage (136152K) : metal3 has 80 polygons
2026-08-20 17:24:42 +0000: Memory Usage (136152K) : metal3_pin has 2 polygons
2026-08-20 17:24:42 +0000: Memory Usage (136152K) : metal3_mask has 0 polygons
2026-08-20 17:24:42 +0000: Memory Usage (136152K) : metal3_nofill has 2 polygons
2026-08-20 17:24:42 +0000: Memory Usage (136152K) : metal3_text has 0 polygons
2026-08-20 17:24:42 +0000: Memory Usage (136152K) : metal3_OPC has 0 polygons
2026-08-20 17:24:42 +0000: Memory Usage (136152K) : metal3_noqrc has 0 polygons
2026-08-20 17:24:42 +0000: Memory Usage (136152K) : metal3_res has 0 polygons
2026-08-20 17:24:42 +0000: Memory Usage (136152K) : metal3_iprobe has 0 polygons
2026-08-20 17:24:42 +0000: Memory Usage (136152K) : metal3_diffprb has 0 polygons
2026-08-20 17:24:42 +0000: Memory Usage (136152K) : nwell_drw has 14 polygons
2026-08-20 17:24:42 +0000: Memory Usage (136152K) : nwell_pin has 0 polygons
2026-08-20 17:24:42 +0000: Memory Usage (136152K) : nwell_text has 0 polygons
2026-08-20 17:24:42 +0000: Memory Usage (136152K) : nbulay_drw has 1 polygons
2026-08-20 17:24:42 +0000: Memory Usage (136152K) : nbulay_pin has 0 polygons
2026-08-20 17:24:42 +0000: Memory Usage (136152K) : nbulay_block has 0 polygons
2026-08-20 17:24:42 +0000: Memory Usage (136280K) : emwind_drw has 4 polygons
2026-08-20 17:24:42 +0000: Memory Usage (136280K) : emwind_OPC has 0 polygons
2026-08-20 17:24:42 +0000: Memory Usage (136280K) : deepco_drw has 0 polygons
2026-08-20 17:24:42 +0000: Memory Usage (136280K) : mim_drw has 0 polygons
2026-08-20 17:24:42 +0000: Memory Usage (136280K) : edgeseal_drw has 0 polygons
2026-08-20 17:24:42 +0000: Memory Usage (136280K) : substrate_drw has 500 polygons
2026-08-20 17:24:42 +0000: Memory Usage (136408K) : substrate_text has 0 polygons
2026-08-20 17:24:42 +0000: Memory Usage (136408K) : dfpad_drw has 2 polygons
2026-08-20 17:24:42 +0000: Memory Usage (136408K) : dfpad_pillar has 0 polygons
2026-08-20 17:24:42 +0000: Memory Usage (136408K) : dfpad_sbump has 0 polygons
2026-08-20 17:24:42 +0000: Memory Usage (136408K) : thickgateox_drw has 1 polygons
