$ /home/ubuntu/.local/share/ihp-eda/venv/bin/python /home/ubuntu/.local/share/ihp-eda/IHP-Open-PDK/ihp-sg13g2/libs.tech/klayout/tech/lvs/run_lvs.py --layout=/workspace/layout/blocks/out/driver_stage/check4/coils_only/driver_dut.gds --netlist=/workspace/layout/blocks/out/driver_stage/check4/coils_only/x.cdl --run_dir=/workspace/layout/blocks/out/driver_stage/check4/coils_only/lvs --run_mode=deep --topcell=driver_dut --implicit_nets=sub,sub! --ignore_top_ports_mismatch --disable_tap_extraction

--- stdout ---
2026-08-20 17:32:20 +0000: Memory Usage (137244K) : antvia1_drw has 0 polygons
2026-08-20 17:32:20 +0000: Memory Usage (137372K) : antmetal2_drw has 0 polygons
2026-08-20 17:32:20 +0000: Memory Usage (137372K) : graphcont_drw has 0 polygons
2026-08-20 17:32:20 +0000: Memory Usage (137372K) : siwg_drw has 0 polygons
2026-08-20 17:32:20 +0000: Memory Usage (137372K) : siwg_filler has 0 polygons
2026-08-20 17:32:20 +0000: Memory Usage (137372K) : siwg_nofill has 0 polygons
2026-08-20 17:32:20 +0000: Memory Usage (137372K) : sigrating_drw has 0 polygons
2026-08-20 17:32:20 +0000: Memory Usage (137500K) : singrating_drw has 0 polygons
2026-08-20 17:32:20 +0000: Memory Usage (137500K) : graphpas_drw has 0 polygons
2026-08-20 17:32:20 +0000: Memory Usage (137500K) : emwind3_drw has 0 polygons
2026-08-20 17:32:20 +0000: Memory Usage (137500K) : emwihv3_drw has 0 polygons
2026-08-20 17:32:20 +0000: Memory Usage (137500K) : redbulay_drw has 0 polygons
2026-08-20 17:32:20 +0000: Memory Usage (137500K) : smos_drw has 0 polygons
2026-08-20 17:32:20 +0000: Memory Usage (137628K) : graphpad_drw has 0 polygons
2026-08-20 17:32:20 +0000: Memory Usage (137628K) : polimide_drw has 0 polygons
2026-08-20 17:32:20 +0000: Memory Usage (137628K) : polimide_pin has 0 polygons
2026-08-20 17:32:20 +0000: Memory Usage (137628K) : recog_drw has 0 polygons
2026-08-20 17:32:20 +0000: Memory Usage (137628K) : recog_pin has 0 polygons
2026-08-20 17:32:20 +0000: Memory Usage (137756K) : recog_esd has 0 polygons
2026-08-20 17:32:20 +0000: Memory Usage (137756K) : recog_diode has 0 polygons
2026-08-20 17:32:20 +0000: Memory Usage (137756K) : recog_tsv has 0 polygons
2026-08-20 17:32:20 +0000: Memory Usage (137756K) : recog_iprobe has 0 polygons
2026-08-20 17:32:20 +0000: Memory Usage (137756K) : recog_diffprb has 0 polygons
2026-08-20 17:32:20 +0000: Memory Usage (137884K) : recog_pillar has 0 polygons
2026-08-20 17:32:20 +0000: Memory Usage (137884K) : recog_sbump has 0 polygons
2026-08-20 17:32:20 +0000: Memory Usage (137884K) : recog_otp has 0 polygons
2026-08-20 17:32:20 +0000: Memory Usage (137884K) : recog_pdiode has 0 polygons
2026-08-20 17:32:20 +0000: Memory Usage (137884K) : recog_mom has 0 polygons
2026-08-20 17:32:20 +0000: Memory Usage (137884K) : recog_momf has 0 polygons
2026-08-20 17:32:20 +0000: Memory Usage (138012K) : recog_pcm has 0 polygons
2026-08-20 17:32:20 +0000: Memory Usage (138012K) : colopen_drw has 0 polygons
2026-08-20 17:32:20 +0000: Memory Usage (138012K) : graphmetal1_drw has 0 polygons
2026-08-20 17:32:20 +0000: Memory Usage (138012K) : graphmetal1_filler has 0 polygons
2026-08-20 17:32:20 +0000: Memory Usage (138012K) : graphmetal1_nofill has 0 polygons
2026-08-20 17:32:20 +0000: Memory Usage (138140K) : graphmetal1_slit has 0 polygons
2026-08-20 17:32:20 +0000: Memory Usage (138140K) : graphmetal1_OPC has 0 polygons
2026-08-20 17:32:20 +0000: Memory Usage (138140K) : graphmet1l_drw has 0 polygons
2026-08-20 17:32:20 +0000: Memory Usage (138140K) : graphmet1l_filler has 0 polygons
2026-08-20 17:32:20 +0000: Memory Usage (138268K) : graphmet1l_nofill has 0 polygons
2026-08-20 17:32:20 +0000: Memory Usage (138268K) : graphmet1l_slit has 0 polygons
2026-08-20 17:32:20 +0000: Memory Usage (138268K) : graphmet1l_OPC has 0 polygons
2026-08-20 17:32:20 +0000: Memory Usage (138268K) : extblock_drw has 6 polygons
2026-08-20 17:32:20 +0000: Memory Usage (138396K) : nldd_drw has 0 polygons
2026-08-20 17:32:20 +0000: Memory Usage (138396K) : pldd_drw has 0 polygons
2026-08-20 17:32:20 +0000: Memory Usage (138396K) : next_drw has 0 polygons
2026-08-20 17:32:20 +0000: Memory Usage (138396K) : pext_drw has 0 polygons
2026-08-20 17:32:20 +0000: Memory Usage (138524K) : nexthv_drw has 0 polygons
2026-08-20 17:32:20 +0000: Memory Usage (138524K) : pexthv_drw has 0 polygons
2026-08-20 17:32:20 +0000: Memory Usage (138524K) : graphgate_drw has 0 polygons
2026-08-20 17:32:20 +0000: Memory Usage (138524K) : sinwg_drw has 0 polygons
2026-08-20 17:32:20 +0000: Memory Usage (138524K) : sinwg_filler has 0 polygons
2026-08-20 17:32:20 +0000: Memory Usage (138652K) : sinwg_nofill has 0 polygons
2026-08-20 17:32:20 +0000: Memory Usage (138652K) : mempad_drw has 0 polygons
2026-08-20 17:32:20 +0000: Memory Usage (138652K) : topvia1_drw has 3 polygons
2026-08-20 17:32:20 +0000: Memory Usage (138652K) : topmetal1_drw has 42 polygons
2026-08-20 17:32:20 +0000: Memory Usage (138652K) : topmetal1_filler has 0 polygons
