$ /home/ubuntu/.local/share/ihp-eda/venv/bin/python /home/ubuntu/.local/share/ihp-eda/IHP-Open-PDK/ihp-sg13g2/libs.tech/klayout/tech/lvs/run_lvs.py --layout=/workspace/layout/blocks/out/driver_stage/check7/driver_dut.gds --netlist=/workspace/layout/blocks/out/driver_stage/check7/x.cdl --run_dir=/workspace/layout/blocks/out/driver_stage/check7/lvs --run_mode=deep --topcell=driver_dut --implicit_nets=sub,sub! --ignore_top_ports_mismatch --disable_tap_extraction

--- stdout ---
2026-08-20 17:43:07 +0000: Memory Usage (136576K) : intbondmet_drw has 0 polygons
2026-08-20 17:43:07 +0000: Memory Usage (136576K) : devbondvia_drw has 0 polygons
2026-08-20 17:43:07 +0000: Memory Usage (136576K) : devbondmet_drw has 0 polygons
2026-08-20 17:43:07 +0000: Memory Usage (136704K) : devtrench_drw has 0 polygons
2026-08-20 17:43:07 +0000: Memory Usage (136704K) : redist_drw has 0 polygons
2026-08-20 17:43:07 +0000: Memory Usage (136704K) : graphbot_drw has 0 polygons
2026-08-20 17:43:07 +0000: Memory Usage (136704K) : graphtop_drw has 0 polygons
2026-08-20 17:43:07 +0000: Memory Usage (136832K) : antvia1_drw has 0 polygons
2026-08-20 17:43:07 +0000: Memory Usage (136832K) : antmetal2_drw has 0 polygons
2026-08-20 17:43:07 +0000: Memory Usage (136832K) : graphcont_drw has 0 polygons
2026-08-20 17:43:07 +0000: Memory Usage (136832K) : siwg_drw has 0 polygons
2026-08-20 17:43:07 +0000: Memory Usage (136832K) : siwg_filler has 0 polygons
2026-08-20 17:43:07 +0000: Memory Usage (136832K) : siwg_nofill has 0 polygons
2026-08-20 17:43:07 +0000: Memory Usage (136960K) : sigrating_drw has 0 polygons
2026-08-20 17:43:07 +0000: Memory Usage (136960K) : singrating_drw has 0 polygons
2026-08-20 17:43:07 +0000: Memory Usage (136960K) : graphpas_drw has 0 polygons
2026-08-20 17:43:07 +0000: Memory Usage (136960K) : emwind3_drw has 0 polygons
2026-08-20 17:43:07 +0000: Memory Usage (136960K) : emwihv3_drw has 0 polygons
2026-08-20 17:43:07 +0000: Memory Usage (137088K) : redbulay_drw has 0 polygons
2026-08-20 17:43:07 +0000: Memory Usage (137088K) : smos_drw has 0 polygons
2026-08-20 17:43:07 +0000: Memory Usage (137088K) : graphpad_drw has 0 polygons
2026-08-20 17:43:07 +0000: Memory Usage (137088K) : polimide_drw has 0 polygons
2026-08-20 17:43:07 +0000: Memory Usage (137088K) : polimide_pin has 0 polygons
2026-08-20 17:43:07 +0000: Memory Usage (137088K) : recog_drw has 1 polygons
2026-08-20 17:43:07 +0000: Memory Usage (137216K) : recog_pin has 0 polygons
2026-08-20 17:43:07 +0000: Memory Usage (137216K) : recog_esd has 1 polygons
2026-08-20 17:43:07 +0000: Memory Usage (137216K) : recog_diode has 0 polygons
2026-08-20 17:43:07 +0000: Memory Usage (137216K) : recog_tsv has 0 polygons
2026-08-20 17:43:07 +0000: Memory Usage (137216K) : recog_iprobe has 0 polygons
2026-08-20 17:43:07 +0000: Memory Usage (137344K) : recog_diffprb has 0 polygons
2026-08-20 17:43:07 +0000: Memory Usage (137344K) : recog_pillar has 0 polygons
2026-08-20 17:43:07 +0000: Memory Usage (137344K) : recog_sbump has 0 polygons
2026-08-20 17:43:07 +0000: Memory Usage (137344K) : recog_otp has 0 polygons
2026-08-20 17:43:07 +0000: Memory Usage (137344K) : recog_pdiode has 0 polygons
2026-08-20 17:43:07 +0000: Memory Usage (137472K) : recog_mom has 0 polygons
2026-08-20 17:43:07 +0000: Memory Usage (137472K) : recog_momf has 0 polygons
2026-08-20 17:43:07 +0000: Memory Usage (137472K) : recog_pcm has 0 polygons
2026-08-20 17:43:07 +0000: Memory Usage (137472K) : colopen_drw has 0 polygons
2026-08-20 17:43:07 +0000: Memory Usage (137600K) : graphmetal1_drw has 0 polygons
2026-08-20 17:43:07 +0000: Memory Usage (137600K) : graphmetal1_filler has 0 polygons
2026-08-20 17:43:07 +0000: Memory Usage (137600K) : graphmetal1_nofill has 0 polygons
2026-08-20 17:43:07 +0000: Memory Usage (137600K) : graphmetal1_slit has 0 polygons
2026-08-20 17:43:07 +0000: Memory Usage (137728K) : graphmetal1_OPC has 0 polygons
2026-08-20 17:43:07 +0000: Memory Usage (137728K) : graphmet1l_drw has 0 polygons
2026-08-20 17:43:07 +0000: Memory Usage (137728K) : graphmet1l_filler has 0 polygons
2026-08-20 17:43:07 +0000: Memory Usage (137728K) : graphmet1l_nofill has 0 polygons
2026-08-20 17:43:07 +0000: Memory Usage (137856K) : graphmet1l_slit has 0 polygons
2026-08-20 17:43:07 +0000: Memory Usage (137856K) : graphmet1l_OPC has 0 polygons
2026-08-20 17:43:07 +0000: Memory Usage (137856K) : extblock_drw has 6 polygons
2026-08-20 17:43:07 +0000: Memory Usage (137856K) : nldd_drw has 0 polygons
2026-08-20 17:43:07 +0000: Memory Usage (137856K) : pldd_drw has 0 polygons
2026-08-20 17:43:07 +0000: Memory Usage (137984K) : next_drw has 0 polygons
2026-08-20 17:43:07 +0000: Memory Usage (137984K) : pext_drw has 0 polygons
2026-08-20 17:43:07 +0000: Memory Usage (137984K) : nexthv_drw has 0 polygons
2026-08-20 17:43:07 +0000: Memory Usage (137984K) : pexthv_drw has 0 polygons
2026-08-20 17:43:07 +0000: Memory Usage (137984K) : graphgate_drw has 0 polygons
2026-08-20 17:43:07 +0000: Memory Usage (137984K) : sinwg_drw has 0 polygons
2026-08-20 17:43:07 +0000: Memory Usage (138112K) : sinwg_filler has 0 polygons
2026-08-20 17:43:07 +0000: Memory Usage (138112K) : sinwg_nofill has 0 polygons
2026-08-20 17:43:07 +0000: Memory Usage (138112K) : mempad_drw has 0 polygons
2026-08-20 17:43:07 +0000: Memory Usage (138112K) : topvia1_drw has 475 polygons
2026-08-20 17:43:07 +0000: Memory Usage (138112K) : topmetal1_drw has 46 polygons
2026-08-20 17:43:07 +0000: Memory Usage (138240K) : topmetal1_filler has 0 polygons
2026-08-20 17:43:07 +0000: Memory Usage (138240K) : topmetal1_slit has 0 polygons
2026-08-20 17:43:07 +0000: Memory Usage (138240K) : topmetal1 has 46 polygons
2026-08-20 17:43:07 +0000: Memory Usage (138240K) : topmetal1_pin has 0 polygons
2026-08-20 17:43:07 +0000: Memory Usage (138240K) : topmetal1_mask has 0 polygons
2026-08-20 17:43:07 +0000: Memory Usage (138240K) : topmetal1_nofill has 2 polygons
2026-08-20 17:43:07 +0000: Memory Usage (138368K) : topmetal1_text has 0 polygons
2026-08-20 17:43:07 +0000: Memory Usage (138368K) : topmetal1_noqrc has 0 polygons
2026-08-20 17:43:07 +0000: Memory Usage (138368K) : topmetal1_res has 0 polygons
2026-08-20 17:43:07 +0000: Memory Usage (138368K) : topmetal1_iprobe has 0 polygons
2026-08-20 17:43:07 +0000: Memory Usage (138496K) : topmetal1_diffprb has 0 polygons
2026-08-20 17:43:07 +0000: Memory Usage (138496K) : inldpwl_drw has 0 polygons
2026-08-20 17:43:07 +0000: Memory Usage (138496K) : polyres_drw has 2 polygons
2026-08-20 17:43:07 +0000: Memory Usage (138496K) : polyres_pin has 0 polygons
2026-08-20 17:43:07 +0000: Memory Usage (138624K) : vmim_drw has 0 polygons
2026-08-20 17:43:07 +0000: Memory Usage (138624K) : nbulaycut_drw has 0 polygons
2026-08-20 17:43:07 +0000: Memory Usage (138624K) : antmetal1_drw has 0 polygons
2026-08-20 17:43:07 +0000: Memory Usage (138624K) : topvia2_drw has 229 polygons
2026-08-20 17:43:07 +0000: Memory Usage (138880K) : topmetal2_drw has 60 polygons
2026-08-20 17:43:07 +0000: Memory Usage (138880K) : topmetal2_filler has 0 polygons
2026-08-20 17:43:07 +0000: Memory Usage (139008K) : topmetal2_slit has 0 polygons
2026-08-20 17:43:07 +0000: Memory Usage (139008K) : topmetal2 has 60 polygons
2026-08-20 17:43:07 +0000: Memory Usage (139008K) : topmetal2_pin has 4 polygons
2026-08-20 17:43:07 +0000: Memory Usage (139008K) : topmetal2_mask has 0 polygons
2026-08-20 17:43:07 +0000: Memory Usage (139136K) : topmetal2_nofill has 2 polygons
2026-08-20 17:43:07 +0000: Memory Usage (139136K) : topmetal2_text has 8 polygons
2026-08-20 17:43:07 +0000: Memory Usage (139136K) : topmetal2_noqrc has 0 polygons
2026-08-20 17:43:07 +0000: Memory Usage (139136K) : topmetal2_res has 0 polygons
2026-08-20 17:43:07 +0000: Memory Usage (139264K) : topmetal2_iprobe has 0 polygons
2026-08-20 17:43:07 +0000: Memory Usage (139264K) : topmetal2_diffprb has 0 polygons
2026-08-20 17:43:07 +0000: Memory Usage (139264K) : snsring_drw has 0 polygons
2026-08-20 17:43:07 +0000: Memory Usage (139264K) : sensor_drw has 0 polygons
2026-08-20 17:43:07 +0000: Memory Usage (139392K) : snsarms_drw has 0 polygons
2026-08-20 17:43:07 +0000: Memory Usage (139392K) : snscmosvia_drw has 0 polygons
2026-08-20 17:43:07 +0000: Memory Usage (139392K) : colwind_drw has 0 polygons
