$ python3 /home/ubuntu/.local/share/ihp-eda/IHP-Open-PDK/ihp-sg13g2/libs.tech/klayout/tech/lvs/run_lvs.py --layout=/workspace/layout/blocks/out/driver_stage/lvs_cmp/new/driver_dut.gds --netlist=/workspace/layout/blocks/out/driver_stage/lvs_cmp/new/x.cdl --run_dir=/workspace/layout/blocks/out/driver_stage/lvs_cmp/new/lvs --run_mode=deep --topcell=driver_dut --implicit_nets=sub,sub! --ignore_top_ports_mismatch --disable_tap_extraction

--- stdout ---
2026-08-20 10:15:34 +0000: Memory Usage (135712K) : nbulay_drw has 1 polygons
2026-08-20 10:15:34 +0000: Memory Usage (135712K) : nbulay_pin has 0 polygons
2026-08-20 10:15:34 +0000: Memory Usage (135712K) : nbulay_block has 0 polygons
2026-08-20 10:15:34 +0000: Memory Usage (135840K) : emwind_drw has 4 polygons
2026-08-20 10:15:34 +0000: Memory Usage (135840K) : emwind_OPC has 0 polygons
2026-08-20 10:15:34 +0000: Memory Usage (135840K) : deepco_drw has 0 polygons
2026-08-20 10:15:34 +0000: Memory Usage (135840K) : mim_drw has 0 polygons
2026-08-20 10:15:34 +0000: Memory Usage (135840K) : edgeseal_drw has 0 polygons
2026-08-20 10:15:34 +0000: Memory Usage (135840K) : substrate_drw has 500 polygons
2026-08-20 10:15:34 +0000: Memory Usage (135968K) : substrate_text has 0 polygons
2026-08-20 10:15:34 +0000: Memory Usage (135968K) : dfpad_drw has 0 polygons
2026-08-20 10:15:34 +0000: Memory Usage (135968K) : dfpad_pillar has 0 polygons
2026-08-20 10:15:34 +0000: Memory Usage (135968K) : dfpad_sbump has 0 polygons
2026-08-20 10:15:34 +0000: Memory Usage (135968K) : thickgateox_drw has 1 polygons
2026-08-20 10:15:34 +0000: Memory Usage (135968K) : pldb_drw has 0 polygons
2026-08-20 10:15:34 +0000: Memory Usage (136096K) : pwell_drw has 0 polygons
2026-08-20 10:15:34 +0000: Memory Usage (136096K) : pwell_pin has 0 polygons
2026-08-20 10:15:34 +0000: Memory Usage (136096K) : pwell_block has 2 polygons
2026-08-20 10:15:34 +0000: Memory Usage (136096K) : ic_drw has 0 polygons
2026-08-20 10:15:34 +0000: Memory Usage (136096K) : via3_drw has 40 polygons
2026-08-20 10:15:34 +0000: Memory Usage (136224K) : metal4_drw has 16 polygons
2026-08-20 10:15:34 +0000: Memory Usage (136224K) : metal4_filler has 0 polygons
2026-08-20 10:15:34 +0000: Memory Usage (136224K) : metal4_slit has 0 polygons
2026-08-20 10:15:34 +0000: Memory Usage (136224K) : metal4 has 16 polygons
2026-08-20 10:15:34 +0000: Memory Usage (136224K) : metal4_pin has 0 polygons
2026-08-20 10:15:34 +0000: Memory Usage (136224K) : metal4_mask has 0 polygons
2026-08-20 10:15:34 +0000: Memory Usage (136352K) : metal4_nofill has 2 polygons
2026-08-20 10:15:34 +0000: Memory Usage (136352K) : metal4_text has 3 polygons
2026-08-20 10:15:34 +0000: Memory Usage (136352K) : metal4_OPC has 0 polygons
2026-08-20 10:15:34 +0000: Memory Usage (136352K) : metal4_noqrc has 0 polygons
2026-08-20 10:15:34 +0000: Memory Usage (136352K) : metal4_res has 0 polygons
2026-08-20 10:15:34 +0000: Memory Usage (136352K) : metal4_iprobe has 0 polygons
2026-08-20 10:15:34 +0000: Memory Usage (136480K) : metal4_diffprb has 0 polygons
2026-08-20 10:15:34 +0000: Memory Usage (136480K) : heattrans_drw has 123 polygons
2026-08-20 10:15:34 +0000: Memory Usage (136480K) : heatres_drw has 2 polygons
2026-08-20 10:15:34 +0000: Memory Usage (136480K) : fbe_drw has 0 polygons
2026-08-20 10:15:34 +0000: Memory Usage (136480K) : empoly_drw has 0 polygons
2026-08-20 10:15:34 +0000: Memory Usage (136480K) : digisub_drw has 0 polygons
2026-08-20 10:15:34 +0000: Memory Usage (136480K) : text_drw has 639 polygons
2026-08-20 10:15:34 +0000: Memory Usage (136608K) : via4_drw has 36 polygons
2026-08-20 10:15:34 +0000: Memory Usage (136608K) : metal5_drw has 25 polygons
2026-08-20 10:15:34 +0000: Memory Usage (136608K) : metal5_filler has 0 polygons
2026-08-20 10:15:34 +0000: Memory Usage (136608K) : metal5_slit has 0 polygons
2026-08-20 10:15:34 +0000: Memory Usage (136608K) : metal5 has 25 polygons
2026-08-20 10:15:34 +0000: Memory Usage (136608K) : metal5_pin has 0 polygons
2026-08-20 10:15:34 +0000: Memory Usage (136736K) : metal5_mask has 0 polygons
2026-08-20 10:15:34 +0000: Memory Usage (136736K) : metal5_nofill has 2 polygons
2026-08-20 10:15:34 +0000: Memory Usage (136736K) : metal5_text has 0 polygons
2026-08-20 10:15:34 +0000: Memory Usage (136736K) : metal5_OPC has 0 polygons
2026-08-20 10:15:34 +0000: Memory Usage (136736K) : metal5_noqrc has 0 polygons
2026-08-20 10:15:34 +0000: Memory Usage (136736K) : metal5_res has 0 polygons
2026-08-20 10:15:34 +0000: Memory Usage (136864K) : metal5_iprobe has 0 polygons
2026-08-20 10:15:34 +0000: Memory Usage (136864K) : metal5_diffprb has 0 polygons
2026-08-20 10:15:34 +0000: Memory Usage (136864K) : radhard_drw has 0 polygons
2026-08-20 10:15:34 +0000: Memory Usage (136864K) : memcap_drw has 0 polygons
2026-08-20 10:15:34 +0000: Memory Usage (136864K) : varicap_drw has 0 polygons
2026-08-20 10:15:34 +0000: Memory Usage (136864K) : intbondvia_drw has 0 polygons
2026-08-20 10:15:34 +0000: Memory Usage (136992K) : intbondmet_drw has 0 polygons
2026-08-20 10:15:34 +0000: Memory Usage (136992K) : devbondvia_drw has 0 polygons
2026-08-20 10:15:34 +0000: Memory Usage (136992K) : devbondmet_drw has 0 polygons
2026-08-20 10:15:34 +0000: Memory Usage (136992K) : devtrench_drw has 0 polygons
2026-08-20 10:15:34 +0000: Memory Usage (137120K) : redist_drw has 0 polygons
2026-08-20 10:15:34 +0000: Memory Usage (137120K) : graphbot_drw has 0 polygons
2026-08-20 10:15:34 +0000: Memory Usage (137120K) : graphtop_drw has 0 polygons
2026-08-20 10:15:34 +0000: Memory Usage (137120K) : antvia1_drw has 0 polygons
2026-08-20 10:15:34 +0000: Memory Usage (137248K) : antmetal2_drw has 0 polygons
2026-08-20 10:15:34 +0000: Memory Usage (137248K) : graphcont_drw has 0 polygons
2026-08-20 10:15:34 +0000: Memory Usage (137248K) : siwg_drw has 0 polygons
2026-08-20 10:15:34 +0000: Memory Usage (137248K) : siwg_filler has 0 polygons
2026-08-20 10:15:34 +0000: Memory Usage (137248K) : siwg_nofill has 0 polygons
2026-08-20 10:15:34 +0000: Memory Usage (137248K) : sigrating_drw has 0 polygons
2026-08-20 10:15:34 +0000: Memory Usage (137376K) : singrating_drw has 0 polygons
2026-08-20 10:15:34 +0000: Memory Usage (137376K) : graphpas_drw has 0 polygons
2026-08-20 10:15:34 +0000: Memory Usage (137376K) : emwind3_drw has 0 polygons
2026-08-20 10:15:34 +0000: Memory Usage (137376K) : emwihv3_drw has 0 polygons
2026-08-20 10:15:34 +0000: Memory Usage (137376K) : redbulay_drw has 0 polygons
2026-08-20 10:15:34 +0000: Memory Usage (137504K) : smos_drw has 0 polygons
2026-08-20 10:15:34 +0000: Memory Usage (137504K) : graphpad_drw has 0 polygons
2026-08-20 10:15:34 +0000: Memory Usage (137504K) : polimide_drw has 0 polygons
2026-08-20 10:15:34 +0000: Memory Usage (137504K) : polimide_pin has 0 polygons
2026-08-20 10:15:34 +0000: Memory Usage (137504K) : recog_drw has 1 polygons
2026-08-20 10:15:34 +0000: Memory Usage (137504K) : recog_pin has 0 polygons
2026-08-20 10:15:34 +0000: Memory Usage (137632K) : recog_esd has 1 polygons
2026-08-20 10:15:34 +0000: Memory Usage (137632K) : recog_diode has 0 polygons
2026-08-20 10:15:34 +0000: Memory Usage (137632K) : recog_tsv has 0 polygons
2026-08-20 10:15:34 +0000: Memory Usage (137632K) : recog_iprobe has 0 polygons
2026-08-20 10:15:34 +0000: Memory Usage (137632K) : recog_diffprb has 0 polygons
2026-08-20 10:15:34 +0000: Memory Usage (137760K) : recog_pillar has 0 polygons
2026-08-20 10:15:34 +0000: Memory Usage (137760K) : recog_sbump has 0 polygons
2026-08-20 10:15:34 +0000: Memory Usage (137760K) : recog_otp has 0 polygons
2026-08-20 10:15:34 +0000: Memory Usage (137760K) : recog_pdiode has 0 polygons
2026-08-20 10:15:34 +0000: Memory Usage (137760K) : recog_mom has 0 polygons
2026-08-20 10:15:34 +0000: Memory Usage (137760K) : recog_momf has 0 polygons
2026-08-20 10:15:34 +0000: Memory Usage (137888K) : recog_pcm has 0 polygons
2026-08-20 10:15:34 +0000: Memory Usage (137888K) : colopen_drw has 0 polygons
2026-08-20 10:15:34 +0000: Memory Usage (137888K) : graphmetal1_drw has 0 polygons
2026-08-20 10:15:34 +0000: Memory Usage (137888K) : graphmetal1_filler has 0 polygons
2026-08-20 10:15:34 +0000: Memory Usage (138016K) : graphmetal1_nofill has 0 polygons
2026-08-20 10:15:34 +0000: Memory Usage (138016K) : graphmetal1_slit has 0 polygons
2026-08-20 10:15:34 +0000: Memory Usage (138016K) : graphmetal1_OPC has 0 polygons
2026-08-20 10:15:34 +0000: Memory Usage (138016K) : graphmet1l_drw has 0 polygons
2026-08-20 10:15:34 +0000: Memory Usage (138144K) : graphmet1l_filler has 0 polygons
2026-08-20 10:15:34 +0000: Memory Usage (138144K) : graphmet1l_nofill has 0 polygons
2026-08-20 10:15:34 +0000: Memory Usage (138144K) : graphmet1l_slit has 0 polygons
2026-08-20 10:15:34 +0000: Memory Usage (138144K) : graphmet1l_OPC has 0 polygons
2026-08-20 10:15:34 +0000: Memory Usage (138272K) : extblock_drw has 6 polygons
2026-08-20 10:15:34 +0000: Memory Usage (138272K) : nldd_drw has 0 polygons
2026-08-20 10:15:34 +0000: Memory Usage (138272K) : pldd_drw has 0 polygons
2026-08-20 10:15:34 +0000: Memory Usage (138272K) : next_drw has 0 polygons
2026-08-20 10:15:34 +0000: Memory Usage (138400K) : pext_drw has 0 polygons
2026-08-20 10:15:34 +0000: Memory Usage (138400K) : nexthv_drw has 0 polygons
2026-08-20 10:15:34 +0000: Memory Usage (138400K) : pexthv_drw has 0 polygons
2026-08-20 10:15:34 +0000: Memory Usage (138400K) : graphgate_drw has 0 polygons
2026-08-20 10:15:34 +0000: Memory Usage (138400K) : sinwg_drw has 0 polygons
2026-08-20 10:15:34 +0000: Memory Usage (138400K) : sinwg_filler has 0 polygons
2026-08-20 10:15:34 +0000: Memory Usage (138528K) : sinwg_nofill has 0 polygons
2026-08-20 10:15:34 +0000: Memory Usage (138528K) : mempad_drw has 0 polygons
2026-08-20 10:15:34 +0000: Memory Usage (138528K) : topvia1_drw has 6 polygons
2026-08-20 10:15:34 +0000: Memory Usage (138528K) : topmetal1_drw has 45 polygons
2026-08-20 10:15:34 +0000: Memory Usage (138528K) : topmetal1_filler has 0 polygons
2026-08-20 10:15:34 +0000: Memory Usage (138656K) : topmetal1_slit has 0 polygons
2026-08-20 10:15:34 +0000: Memory Usage (138656K) : topmetal1 has 45 polygons
2026-08-20 10:15:34 +0000: Memory Usage (138656K) : topmetal1_pin has 0 polygons
2026-08-20 10:15:34 +0000: Memory Usage (138656K) : topmetal1_mask has 0 polygons
2026-08-20 10:15:34 +0000: Memory Usage (138656K) : topmetal1_nofill has 2 polygons
2026-08-20 10:15:34 +0000: Memory Usage (138656K) : topmetal1_text has 0 polygons
2026-08-20 10:15:34 +0000: Memory Usage (138784K) : topmetal1_noqrc has 0 polygons
2026-08-20 10:15:34 +0000: Memory Usage (138784K) : topmetal1_res has 0 polygons
