$ python3 /home/ubuntu/.local/share/ihp-eda/IHP-Open-PDK/ihp-sg13g2/libs.tech/klayout/tech/lvs/run_lvs.py --layout=/workspace/layout/blocks/out/term_stage/term_dut.gds --netlist=/workspace/layout/blocks/out/term_stage/term_dut.cdl --run_dir=/workspace/layout/blocks/out/term_stage/lvs_bisect/baseline --run_mode=deep --topcell=term_dut --implicit_nets=sub,sub! --ignore_top_ports_mismatch --disable_tap_extraction

--- stdout ---
2026-08-20 06:42:37 +0000: Memory Usage (136588K) : heattrans_drw has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (136716K) : heatres_drw has 4 polygons
2026-08-20 06:42:37 +0000: Memory Usage (136716K) : fbe_drw has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (136716K) : empoly_drw has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (136716K) : digisub_drw has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (136716K) : text_drw has 126 polygons
2026-08-20 06:42:37 +0000: Memory Usage (136716K) : via4_drw has 1008 polygons
2026-08-20 06:42:37 +0000: Memory Usage (136844K) : metal5_drw has 29 polygons
2026-08-20 06:42:37 +0000: Memory Usage (136844K) : metal5_filler has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (136844K) : metal5_slit has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (136844K) : metal5 has 29 polygons
2026-08-20 06:42:37 +0000: Memory Usage (136844K) : metal5_pin has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (136972K) : metal5_mask has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (136972K) : metal5_nofill has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (136972K) : metal5_text has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (136972K) : metal5_OPC has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (136972K) : metal5_noqrc has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (136972K) : metal5_res has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (137100K) : metal5_iprobe has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (137100K) : metal5_diffprb has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (137100K) : radhard_drw has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (137100K) : memcap_drw has 0 polygons
