$ /home/ubuntu/.local/share/ihp-eda/venv/bin/python /home/ubuntu/.local/share/ihp-eda/IHP-Open-PDK/ihp-sg13g2/libs.tech/klayout/tech/lvs/run_lvs.py --layout=/workspace/layout/blocks/out/driver_stage/bisect_run/_probe4_ties/driver_dut.gds --netlist=/workspace/layout/blocks/out/driver_stage/bisect_run/_probe4_ties/driver_dut.cdl --run_dir=/workspace/layout/blocks/out/driver_stage/bisect_run/_probe4_ties/lvs --run_mode=deep --topcell=driver_dut --implicit_nets=sub,sub! --ignore_top_ports_mismatch --disable_tap_extraction

--- stdout ---
2026-08-20 19:01:41 +0000: Memory Usage (135608K) : metal3_diffprb has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (135608K) : nwell_drw has 10 polygons
2026-08-20 19:01:41 +0000: Memory Usage (135608K) : nwell_pin has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (135608K) : nwell_text has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (135608K) : nbulay_drw has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (135736K) : nbulay_pin has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (135736K) : nbulay_block has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (135736K) : emwind_drw has 4 polygons
2026-08-20 19:01:41 +0000: Memory Usage (135736K) : emwind_OPC has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (135736K) : deepco_drw has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (135736K) : mim_drw has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (135864K) : edgeseal_drw has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (135864K) : substrate_drw has 500 polygons
2026-08-20 19:01:41 +0000: Memory Usage (135864K) : substrate_text has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (135864K) : dfpad_drw has 2 polygons
2026-08-20 19:01:41 +0000: Memory Usage (135864K) : dfpad_pillar has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (135864K) : dfpad_sbump has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (135992K) : thickgateox_drw has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (135992K) : pldb_drw has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (135992K) : pwell_drw has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (135992K) : pwell_pin has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (135992K) : pwell_block has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (136120K) : ic_drw has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (136120K) : via3_drw has 1001 polygons
2026-08-20 19:01:41 +0000: Memory Usage (136120K) : metal4_drw has 19 polygons
2026-08-20 19:01:41 +0000: Memory Usage (136120K) : metal4_filler has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (136120K) : metal4_slit has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (136248K) : metal4 has 19 polygons
